SeaLevel,Age(Ma)
-8.61,2.76229
-5.55,2.76434
-10.5,2.76686
-10.52,2.76914
-20.38,2.77127
-5.02,2.7734
-5.04,2.77574
2.95,2.77724
4.78,2.77894
5.38,2.78065
1.05,2.78235
-7.58,2.78441
1.01,2.78663
-5.78,2.78959
-7.66,2.79342
-25.53,2.79665
-5.86,2.79875
-31.12,2.80106
-49.6,2.80279
-31.78,2.80424
-33.65,2.80597
-33.67,2.80742
-33.08,2.80941
-15.9,2.81261
-11.02,2.81562
-12.92,2.81914
-3.73,2.82219
-3.2,2.82807
-6.31,2.83062
-4.5,2.83288
-11.91,2.83486
-11.94,2.83687
-17.5,2.83888
-24.3,2.84109
-13.26,2.84323
-15.75,2.84511
-22.54,2.84681
-22.57,2.84869
-13.98,2.85039
-27.54,2.85227
-5.42,2.85434
-7.91,2.85623
-3.62,2.85808
-1.8,2.85987
-4.9,2.86158
6.76,2.86328
-11.1,2.86482
1.18,2.86636
-0.69,2.86807
-4.4,2.86961
-5.04,2.87132
-16.76,2.87303
-24.78,2.87491
-23.58,2.87656
-30.98,2.87819
-29.16,2.87982
-15.65,2.88175
-17.52,2.88356
-15.7,2.88542
-7.73,2.88735
-9.6,2.88921
-5.94,2.89087
-4.73,2.89282
-3.53,2.89479
-0.48,2.89677
-11.59,2.89874
-9.15,2.90072
-5.49,2.90284
-1.83,2.90476
-9.24,2.90649
-16.65,2.90841
-19.13,2.91014
-18.54,2.91206
-15.49,2.91398
-21.68,2.9161
-24.17,2.91802
-29.73,2.91994
-25.45,2.92167
-21.78,2.9234
-18.12,2.9252
-2.76,2.92712
-5.87,2.92928
1.48,2.93189
3.27,2.93565
-0.48,2.93994
22.21,2.94504
9.24,2.9488
7.97,2.95128
12.87,2.95322
-8.07,2.95468
4.84,2.95492
-2.56,2.95613
-14.26,2.95711
-3.81,2.95735
4.78,2.95954
1.68,2.96106
-3.25,2.96165
4.11,2.96301
14.56,2.96359
-8.22,2.96475
-18.07,2.96553
-3.95,2.96746
-3.98,2.96938
-15.08,2.9713
